Book Name,Author,Rating,Number of Reviews,Price,cleaned_description,Listening Time (minutes),Rank,Genre
Satya Ke Sath Mere Prayog [My Experiment With Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,4.2,154,1171,"what i want to achieve what i have been striving and pining to achieve these 30 years is selfrealization, to see god face to face, to attain moksha.",1374,296,Audible Audiobooks & Originals
The Selfish Gene,Richard Dawkins,4.6,1881,836,"richard dawkins' brilliant reformulation of the theory of natural selection has the rare distinction of having provoked as much excitement and interest outside the scientific community as within it. his theories have helped change the whole nature of the study of social biology, and have forced thousands to rethink their beliefs about life.",972,262,Audible Audiobooks & Originals
Astrophysics For People In A Hurry,Neil Degrasse Tyson,4.6,7255,585,what is the nature of space and time? how do we fit within the universe? how does the universe fit within us? there's no better guide through these mindexpanding questions than acclaimed astrophysicist and bestselling author neil degrasse tyson.,221,203,Science
Flow: Living At The Peak Of Your Abilities,Mihaly Csikszentmihalyi Ph.D.,4.5,319,1439,"in flow, everyday experience becomes a moment by moment opportunity for joy and selffulfillment. flow is the brainchild of a fascinating psychologist, mihaly csikszentmihalyi, a renowned social scientist who has devoted his life's work to the study of what makes people truly happy, satisfied and fulfilled. while much of the study of psychology investigates disorders of the human mind, dr. csikszentmihalyi takes a different route. he focuses on the noble side of human nature, our capacity for living a life of integrity, courage, and perseverance. with his landmark research on flow, he reveals what he considers beautiful in life, ways of being and behaving that make people happy, satisfied and delighted to be alive. his insights into the flow experience show ways to lessen stress, fear and anxiety while increasing feelings of challenge, joy and excitement. the revolutionary findings of mihaly csikszentmihalyi's experience sampling method offer unprecedented information about the specific ways we can turn life into a continuous high quality experience. you'll discover how anyone can enrich his or her quality of life simply by learning how flow occurs and what it feels like. you'll learn about the key elements of the flow experience including",331,180,Audible Audiobooks & Originals
The Compound Effect: Multiply Your Success One Simple Step At A Time,Darren Hardy,4.7,3936,608,"the compound effect contains the essence of what every super achiever needs to know, practice, and master to obtain extraordinary success. inside you will hear strategies on",284,93,Audible Audiobooks & Originals
The Fountainhead,Ayn Rand,4.2,816,1054,"by completing your purchase you agree to audibles conditions of use, amazon's privacy notice and if applicable audible's recurring payment terms.",1922,103,"Crime, Thriller & Mystery"
Maybe You Should Talk To Someone,Lori Gottlieb,4.7,3484,1328,"ever wonder what your therapist is really thinking? now you can find out...a hilarious, thoughtprovoking and surprising new book that takes us behind the scenes of a therapist's world.",862,89,Audible Audiobooks & Originals
Essence Of The Upanishads: A Key To Indian Spirituality,Eknath Easwaran,4.5,52,350,"the katha upanishad embraces the key ideas of indian mysticism in a mythic story we can all relate to the quest of a young hero, nachiketa, who ventures into the land of death in search of immortality.",521,209,Audible Audiobooks & Originals
The Great Indian Novel,Shashi Tharoor,4.3,197,879,reinventing yourself is harder when you dont remember who you were.,1120,148,Audible Audiobooks & Originals
The Forty Rules Of Love,Elif Shafak,4.6,2343,752,"penguin presents the audiobook edition of the forty rules of love by elif shafak, read by george blagden.",715,226,Audible Audiobooks & Originals
H.G. Wells: The Science Fiction Collection,H. G. Wells,4.5,319,1898,"hes often been called the father of science fiction. now, listen to h. g. wells five science fiction novels in one definitive collection. introduced by film director and h. g. wells fanboy eli roth, the collection features unabridged recordings of the novels performed by hugh bonneville, jason isaacs, sophie okonedo, david tennant and alexander vlahos.",1635,237,Audible Audiobooks & Originals
Peppa Pig: Bedtime Stories,Ladybird,4.7,64,342,brought to you by ladybird.,67,156,Audible Audiobooks & Originals
The Mahabharata Secret,Christopher C. Doyle,4.0,985,836,244 bc,617,184,Self-Help
Lok Vyavhar,Dale Carnegie,4.5,1412,668,"dale carnegie teaches how you can make people like you, win people over to your way of thinking and change people without causing offense or arousing resentment. he also emphasizes fundamental techniques for handling people without making them feel manipulated. carnegie illustrates his points with anecdotes of historical figures leaders of the business world and everyday folks.",588,120,Audible Audiobooks & Originals
Kyon Se Shuruwat Karein [Start With Why]: Mahaan Leaders Logon Ko Aage Badhne Ke Liye Prerit Kaise Karte Hain [How Great Leaders Inspire People To Move Forward],Simon Sinek,4.5,319,836,"why are some people and organizations more inventive, pioneering and successful than others? and why are they able to repeat their success again and again?",652,153,Audible Audiobooks & Originals
The Da Vinci Code,Dan Brown,4.7,3822,1435,"a murder in the silent, late night halls of the louvre reveals a sinister plot to uncover a secret that has been protected by a clandestine society since the days of christ. the victim is a highranking agent of this ancient society who, in the moments before his death, manages to leave gruesome clues at the scene that only his cryptographer daughter and her symbologist friend can untangle. the duo becomes both suspects and detectives searching not only for the murderer, but also the stunning secret he was charged to protect.",999,162,Audible Audiobooks & Originals
The Art Of War,Sun Tzu,4.2,9108,333,"the 13 chapters of the art of war, each devoted to one aspect of warfare, were compiled by the highranking chinese military general, strategist, and philosopher suntzu. in spite of its battlefield specificity, the art of war has found new life in the modern age, with leaders in fields as wide and farreaching as world politics, human psychology, and corporate strategy finding valuable insight in its timeworn words.",67,86,Audible Audiobooks & Originals
